before,after,interval,const,x1,x2,x3
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,0,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
2,2,1.29,1,1,0,0
1,2,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,1,1.29,1,1,0,0
1,2,1.025,1,1,0,1
2,4,1.025,1,1,0,1
4,5,1.025,1,1,0,1
3,4,1.025,1,1,0,1
3,4,1.025,1,1,0,1
3,4,1.025,1,1,0,1
2,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
3,3,1.025,1,1,0,1
2,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,3,1.025,1,1,0,1
2,4,1.025,1,1,0,1
2,3,1.025,1,1,0,1
4,4,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
4,4,1.025,1,1,0,1
4,4,1.025,1,1,0,1
3,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
3,3,1.025,1,1,0,1
4,4,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
3,4,1.025,1,1,0,1
4,5,1.025,1,1,0,1
5,5,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,4,1.025,1,0,0,1
1,3,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
2,4,1.025,1,0,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
4,4,1.025,1,1,0,1
4,4,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
3,3,1.025,1,1,0,1
4,4,1.025,1,1,0,1
2,2,1.025,1,0,0,1
2,3,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,1,0,1
1,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,3,1.025,1,1,0,1
3,3,1.025,1,1,0,1
3,4,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,3,1.025,1,1,0,1
2,3,1.025,1,1,0,1
3,3,1.025,1,1,0,1
3,3,1.025,1,1,0,1
2,3,1.025,1,1,0,1
3,3,1.025,1,1,0,1
3,3,1.025,1,1,0,1
3,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
3,3,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,1,1.025,1,0,0,1
1,2,1.025,1,0,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
2,2,1.025,1,0,0,1
4,4,1.025,1,1,0,1
2,2,1.025,1,1,0,1
4,4,1.025,1,1,0,1
5,5,1.025,1,1,0,1
4,4,1.025,1,1,0,1
4,4,1.025,1,1,0,1
3,3,1.025,1,1,0,1
3,3,1.025,1,1,0,1
3,4,1.025,1,1,0,1
4,4,1.025,1,1,0,1
5,5,1.025,1,1,0,1
5,5,1.025,1,1,0,1
4,5,1.025,1,1,0,1
4,4,1.025,1,1,0,1
3,4,1.025,1,1,0,1
5,5,1.025,1,1,0,1
4,4,1.025,1,1,0,1
5,5,1.025,1,1,0,1
4,4,1.025,1,1,0,1
2,3,1.025,1,1,0,1
4,4,1.025,1,1,0,1
4,4,1.025,1,1,0,1
5,5,1.025,1,1,0,1
4,4,1.025,1,1,0,1
1,1,1.025,1,0,0,1
2,2,1.025,1,0,0,1
4,4,1.025,1,1,0,1
4,4,1.025,1,1,0,1
3,3,1.025,1,1,0,1
3,4,1.025,1,1,0,1
3,3,1.025,1,1,0,1
2,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
3,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
3,4,1.025,1,1,0,1
4,4,1.025,1,1,0,1
2,3,1.025,1,1,0,1
3,3,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
1,2,1.025,1,1,0,1
1,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,2,1.025,1,1,0,1
2,3,1.025,1,1,0,1
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
4,4,1.014,1,1,0,0
5,5,1.014,1,1,0,0
3,3,1.014,1,1,0,0
4,4,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
4,4,1.014,1,1,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
2,2,1.014,1,0,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
3,3,1.014,1,1,0,0
4,4,1.014,1,1,0,0
3,4,1.014,1,1,0,0
4,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
4,4,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
3,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,5,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,5,1.014,1,1,0,0
4,4,1.014,1,1,0,0
3,4,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,3,1.014,1,1,0,0
4,4,1.014,1,1,0,0
3,4,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
3,3,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
4,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,4,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
4,4,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,3,1.014,1,1,0,0
5,5,1.014,1,1,0,0
4,4,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
4,5,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
1,1,1.014,1,0,0,0
2,2,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,5,1.014,1,1,0,0
4,5,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
3,4,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,4,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
1,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
3,4,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
3,3,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
3,5,1.014,1,1,0,0
2,5,1.014,1,1,0,0
2,5,1.014,1,1,0,0
2,4,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
1,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
1,2,1.014,1,1,0,0
1,1,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
1,1,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
4,4,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
4,5,1.014,1,1,0,0
3,3,1.014,1,1,0,0
5,5,1.014,1,1,0,0
5,5,1.014,1,1,0,0
4,5,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,4,1.014,1,1,0,0
1,3,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,4,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,3,1.014,1,1,0,0
3,3,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
4,4,1.014,1,1,0,0
2,2,1.014,1,1,0,0
2,2,1.014,1,1,0,0
4,5,1.014,1,1,0,0
2,2,1.014,1,1,0,0
5,5,1.014,1,1,0,0
2,2,1.014,1,1,0,0
3,4,1.014,1,1,0,0
4,5,1.014,1,1,0,0
2,2,1.014,1,1,0,0
1,3,1.014,1,1,0,0
1,2,1.014,1,1,0,0
2,3,1.014,1,1,0,0
2,5,1.014,1,1,0,0
1,2,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,1,0,0
1,1,1.005,1,1,0,0
1,1,1.005,1,1,0,0
1,2,1.005,1,1,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,2,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
1,1,1.005,1,0,0,0
2,2,1.005,1,0,0,0
1,1,1.005,1,0,0,0
